[02:35:58] Model: transformer | params=0.85M
[02:35:59] Loaded init checkpoint from runs/hp_capacity_radius1/large_r1/ckpt_final_curriculum.pt (missing=['_orig_mod.cls_token', '_orig_mod.global_tokens', '_orig_mod.row_embed', '_orig_mod.col_embed', '_orig_mod.input_proj.weight', '_orig_mod.input_proj.bias', '_orig_mod.blocks.0.norm1.weight', '_orig_mod.blocks.0.norm1.bias', '_orig_mod.blocks.0.attn.rel_pos_bias', '_orig_mod.blocks.0.attn.qkv.weight', '_orig_mod.blocks.0.attn.qkv.bias', '_orig_mod.blocks.0.attn.proj.weight', '_orig_mod.blocks.0.attn.proj.bias', '_orig_mod.blocks.0.norm2.weight', '_orig_mod.blocks.0.norm2.bias', '_orig_mod.blocks.0.mlp.fc1.weight', '_orig_mod.blocks.0.mlp.fc1.bias', '_orig_mod.blocks.0.mlp.fc2.weight', '_orig_mod.blocks.0.mlp.fc2.bias', '_orig_mod.blocks.1.norm1.weight', '_orig_mod.blocks.1.norm1.bias', '_orig_mod.blocks.1.attn.qkv.weight', '_orig_mod.blocks.1.attn.qkv.bias', '_orig_mod.blocks.1.attn.proj.weight', '_orig_mod.blocks.1.attn.proj.bias', '_orig_mod.blocks.1.norm2.weight', '_orig_mod.blocks.1.norm2.bias', '_orig_mod.blocks.1.mlp.fc1.weight', '_orig_mod.blocks.1.mlp.fc1.bias', '_orig_mod.blocks.1.mlp.fc2.weight', '_orig_mod.blocks.1.mlp.fc2.bias', '_orig_mod.blocks.2.norm1.weight', '_orig_mod.blocks.2.norm1.bias', '_orig_mod.blocks.2.attn.rel_pos_bias', '_orig_mod.blocks.2.attn.qkv.weight', '_orig_mod.blocks.2.attn.qkv.bias', '_orig_mod.blocks.2.attn.proj.weight', '_orig_mod.blocks.2.attn.proj.bias', '_orig_mod.blocks.2.norm2.weight', '_orig_mod.blocks.2.norm2.bias', '_orig_mod.blocks.2.mlp.fc1.weight', '_orig_mod.blocks.2.mlp.fc1.bias', '_orig_mod.blocks.2.mlp.fc2.weight', '_orig_mod.blocks.2.mlp.fc2.bias', '_orig_mod.blocks.3.norm1.weight', '_orig_mod.blocks.3.norm1.bias', '_orig_mod.blocks.3.attn.qkv.weight', '_orig_mod.blocks.3.attn.qkv.bias', '_orig_mod.blocks.3.attn.proj.weight', '_orig_mod.blocks.3.attn.proj.bias', '_orig_mod.blocks.3.norm2.weight', '_orig_mod.blocks.3.norm2.bias', '_orig_mod.blocks.3.mlp.fc1.weight', '_orig_mod.blocks.3.mlp.fc1.bias', '_orig_mod.blocks.3.mlp.fc2.weight', '_orig_mod.blocks.3.mlp.fc2.bias', '_orig_mod.blocks.4.norm1.weight', '_orig_mod.blocks.4.norm1.bias', '_orig_mod.blocks.4.attn.rel_pos_bias', '_orig_mod.blocks.4.attn.qkv.weight', '_orig_mod.blocks.4.attn.qkv.bias', '_orig_mod.blocks.4.attn.proj.weight', '_orig_mod.blocks.4.attn.proj.bias', '_orig_mod.blocks.4.norm2.weight', '_orig_mod.blocks.4.norm2.bias', '_orig_mod.blocks.4.mlp.fc1.weight', '_orig_mod.blocks.4.mlp.fc1.bias', '_orig_mod.blocks.4.mlp.fc2.weight', '_orig_mod.blocks.4.mlp.fc2.bias', '_orig_mod.blocks.5.norm1.weight', '_orig_mod.blocks.5.norm1.bias', '_orig_mod.blocks.5.attn.qkv.weight', '_orig_mod.blocks.5.attn.qkv.bias', '_orig_mod.blocks.5.attn.proj.weight', '_orig_mod.blocks.5.attn.proj.bias', '_orig_mod.blocks.5.norm2.weight', '_orig_mod.blocks.5.norm2.bias', '_orig_mod.blocks.5.mlp.fc1.weight', '_orig_mod.blocks.5.mlp.fc1.bias', '_orig_mod.blocks.5.mlp.fc2.weight', '_orig_mod.blocks.5.mlp.fc2.bias', '_orig_mod.norm.weight', '_orig_mod.norm.bias', '_orig_mod.belief_policy_proj.0.weight', '_orig_mod.belief_policy_proj.0.bias', '_orig_mod.belief_policy_proj.1.weight', '_orig_mod.belief_policy_proj.1.bias', '_orig_mod.policy_head.0.weight', '_orig_mod.policy_head.0.bias', '_orig_mod.policy_head.1.weight', '_orig_mod.policy_head.1.bias', '_orig_mod.policy_head.3.weight', '_orig_mod.policy_head.3.bias', '_orig_mod.value_head.0.weight', '_orig_mod.value_head.0.bias', '_orig_mod.value_head.1.weight', '_orig_mod.value_head.1.bias', '_orig_mod.value_head.3.weight', '_orig_mod.value_head.3.bias', '_orig_mod.mine_head.0.weight', '_orig_mod.mine_head.0.bias', '_orig_mod.mine_head.1.weight', '_orig_mod.mine_head.1.bias', '_orig_mod.mine_head.3.weight', '_orig_mod.mine_head.3.bias'] unexpected=['cls_token', 'input_proj.weight', 'input_proj.bias', 'blocks.0.norm1.weight', 'blocks.0.norm1.bias', 'blocks.0.attn.rel_pos_bias', 'blocks.0.attn.qkv.weight', 'blocks.0.attn.qkv.bias', 'blocks.0.attn.proj.weight', 'blocks.0.attn.proj.bias', 'blocks.0.norm2.weight', 'blocks.0.norm2.bias', 'blocks.0.mlp.fc1.weight', 'blocks.0.mlp.fc1.bias', 'blocks.0.mlp.fc2.weight', 'blocks.0.mlp.fc2.bias', 'blocks.1.norm1.weight', 'blocks.1.norm1.bias', 'blocks.1.attn.rel_pos_bias', 'blocks.1.attn.qkv.weight', 'blocks.1.attn.qkv.bias', 'blocks.1.attn.proj.weight', 'blocks.1.attn.proj.bias', 'blocks.1.norm2.weight', 'blocks.1.norm2.bias', 'blocks.1.mlp.fc1.weight', 'blocks.1.mlp.fc1.bias', 'blocks.1.mlp.fc2.weight', 'blocks.1.mlp.fc2.bias', 'blocks.2.norm1.weight', 'blocks.2.norm1.bias', 'blocks.2.attn.rel_pos_bias', 'blocks.2.attn.qkv.weight', 'blocks.2.attn.qkv.bias', 'blocks.2.attn.proj.weight', 'blocks.2.attn.proj.bias', 'blocks.2.norm2.weight', 'blocks.2.norm2.bias', 'blocks.2.mlp.fc1.weight', 'blocks.2.mlp.fc1.bias', 'blocks.2.mlp.fc2.weight', 'blocks.2.mlp.fc2.bias', 'blocks.3.norm1.weight', 'blocks.3.norm1.bias', 'blocks.3.attn.rel_pos_bias', 'blocks.3.attn.qkv.weight', 'blocks.3.attn.qkv.bias', 'blocks.3.attn.proj.weight', 'blocks.3.attn.proj.bias', 'blocks.3.norm2.weight', 'blocks.3.norm2.bias', 'blocks.3.mlp.fc1.weight', 'blocks.3.mlp.fc1.bias', 'blocks.3.mlp.fc2.weight', 'blocks.3.mlp.fc2.bias', 'blocks.4.norm1.weight', 'blocks.4.norm1.bias', 'blocks.4.attn.rel_pos_bias', 'blocks.4.attn.qkv.weight', 'blocks.4.attn.qkv.bias', 'blocks.4.attn.proj.weight', 'blocks.4.attn.proj.bias', 'blocks.4.norm2.weight', 'blocks.4.norm2.bias', 'blocks.4.mlp.fc1.weight', 'blocks.4.mlp.fc1.bias', 'blocks.4.mlp.fc2.weight', 'blocks.4.mlp.fc2.bias', 'blocks.5.norm1.weight', 'blocks.5.norm1.bias', 'blocks.5.attn.rel_pos_bias', 'blocks.5.attn.qkv.weight', 'blocks.5.attn.qkv.bias', 'blocks.5.attn.proj.weight', 'blocks.5.attn.proj.bias', 'blocks.5.norm2.weight', 'blocks.5.norm2.bias', 'blocks.5.mlp.fc1.weight', 'blocks.5.mlp.fc1.bias', 'blocks.5.mlp.fc2.weight', 'blocks.5.mlp.fc2.bias', 'norm.weight', 'norm.bias'])
[02:36:06] upd 1/240 | 6.96s | steps=2560 | pi=0.2901 v=0.4189 ent=5.0526 aux=1.1801 ent_coef=0.0020
[02:38:39] upd 51/240 | 2.64s | steps=2560 | pi=0.0384 v=0.4463 ent=3.8416 aux=1.1527 ent_coef=0.0019
[02:38:41] upd 52/240 | 2.64s | steps=2560 | pi=-0.0958 v=0.4583 ent=3.9340 aux=1.1325 ent_coef=0.0019
[02:38:44] upd 53/240 | 2.64s | steps=2560 | pi=-0.0855 v=0.4359 ent=3.9075 aux=1.1337 ent_coef=0.0019
[02:38:47] upd 54/240 | 2.62s | steps=2560 | pi=0.1150 v=0.4436 ent=3.9560 aux=1.1388 ent_coef=0.0019
[02:38:49] upd 55/240 | 2.66s | steps=2560 | pi=0.1911 v=0.4591 ent=3.9081 aux=1.2078 ent_coef=0.0019
[02:38:52] upd 56/240 | 2.64s | steps=2560 | pi=0.1272 v=0.4680 ent=3.8937 aux=1.1461 ent_coef=0.0019
[02:38:55] upd 57/240 | 2.64s | steps=2560 | pi=-0.1207 v=0.4594 ent=3.8664 aux=1.1420 ent_coef=0.0019
[02:38:57] upd 58/240 | 2.65s | steps=2560 | pi=-0.0524 v=0.4448 ent=3.8780 aux=1.1758 ent_coef=0.0019
[02:39:00] upd 59/240 | 2.65s | steps=2560 | pi=0.0099 v=0.4423 ent=3.8518 aux=1.1527 ent_coef=0.0019
[02:39:03] upd 60/240 | 2.74s | steps=2560 | pi=0.0609 v=0.4673 ent=3.8031 aux=1.1638 ent_coef=0.0019
[02:39:05] quick eval upd 60: win_rate=0.392 avg_steps=2.23 guesses/ep=1.73 guess_success=0.65 auroc=0.454 score=0.389
[02:39:08] upd 61/240 | 2.69s | steps=2560 | pi=-0.0060 v=0.4493 ent=3.8080 aux=1.1316 ent_coef=0.0019
[02:39:11] upd 62/240 | 2.67s | steps=2560 | pi=0.1224 v=0.4470 ent=3.7365 aux=1.1766 ent_coef=0.0019
[02:39:14] upd 63/240 | 2.72s | steps=2560 | pi=0.0150 v=0.4346 ent=3.8295 aux=1.1376 ent_coef=0.0019
[02:39:16] upd 64/240 | 2.67s | steps=2560 | pi=-0.1011 v=0.4435 ent=3.6439 aux=1.1299 ent_coef=0.0019
[02:39:19] upd 65/240 | 2.68s | steps=2560 | pi=0.0225 v=0.4431 ent=3.6412 aux=1.1772 ent_coef=0.0019
[02:39:22] upd 66/240 | 2.67s | steps=2560 | pi=0.0034 v=0.4580 ent=3.7677 aux=1.1617 ent_coef=0.0019
[02:39:24] upd 67/240 | 2.68s | steps=2560 | pi=-0.0939 v=0.4594 ent=3.7555 aux=1.1364 ent_coef=0.0019
[02:39:27] upd 68/240 | 2.66s | steps=2560 | pi=0.0161 v=0.4471 ent=3.7355 aux=1.1430 ent_coef=0.0019
[02:39:30] upd 69/240 | 2.65s | steps=2560 | pi=0.0078 v=0.4371 ent=3.6923 aux=1.1460 ent_coef=0.0019
[02:39:32] upd 70/240 | 2.66s | steps=2560 | pi=0.0012 v=0.4515 ent=3.7227 aux=1.1346 ent_coef=0.0019
[02:39:35] quick eval upd 70: win_rate=0.419 avg_steps=2.30 guesses/ep=1.78 guess_success=0.67 auroc=0.463 score=0.416
[02:39:38] upd 71/240 | 2.65s | steps=2560 | pi=0.1637 v=0.4418 ent=3.6752 aux=1.1586 ent_coef=0.0019
[02:39:41] upd 72/240 | 2.64s | steps=2560 | pi=0.0258 v=0.4530 ent=3.7644 aux=1.1426 ent_coef=0.0019
[02:39:43] upd 73/240 | 2.67s | steps=2560 | pi=0.0451 v=0.4535 ent=3.7207 aux=1.1383 ent_coef=0.0019
[02:39:46] upd 74/240 | 2.68s | steps=2560 | pi=0.0430 v=0.4511 ent=3.6938 aux=1.1532 ent_coef=0.0019
[02:39:49] upd 75/240 | 2.66s | steps=2560 | pi=0.0247 v=0.4525 ent=3.6996 aux=1.1718 ent_coef=0.0019
[02:39:51] upd 76/240 | 2.67s | steps=2560 | pi=-0.0057 v=0.4553 ent=3.8343 aux=1.1483 ent_coef=0.0019
[02:39:54] upd 77/240 | 2.78s | steps=2560 | pi=-0.0301 v=0.4479 ent=3.7013 aux=1.1377 ent_coef=0.0019
[02:39:57] upd 78/240 | 2.77s | steps=2560 | pi=-0.0053 v=0.4378 ent=3.5968 aux=1.1507 ent_coef=0.0019
[02:40:00] upd 79/240 | 2.77s | steps=2560 | pi=-0.0078 v=0.4340 ent=3.5615 aux=1.1758 ent_coef=0.0019
[02:40:02] upd 80/240 | 2.68s | steps=2560 | pi=-0.0533 v=0.4585 ent=3.5392 aux=1.1364 ent_coef=0.0018
[02:40:06] quick eval upd 80: win_rate=0.426 avg_steps=2.24 guesses/ep=1.73 guess_success=0.67 auroc=0.467 score=0.423
[02:40:08] upd 81/240 | 2.65s | steps=2560 | pi=0.0292 v=0.4387 ent=3.4620 aux=1.1626 ent_coef=0.0018
[02:40:11] upd 82/240 | 2.65s | steps=2560 | pi=-0.0842 v=0.4349 ent=3.4394 aux=1.1519 ent_coef=0.0018
[02:40:14] upd 83/240 | 2.64s | steps=2560 | pi=-0.0433 v=0.4469 ent=3.4568 aux=1.1605 ent_coef=0.0018
[02:40:16] upd 84/240 | 2.66s | steps=2560 | pi=0.0397 v=0.4370 ent=3.4638 aux=1.1704 ent_coef=0.0018
[02:40:19] upd 85/240 | 2.64s | steps=2560 | pi=-0.0039 v=0.4280 ent=3.4595 aux=1.1633 ent_coef=0.0018
[02:40:21] upd 86/240 | 2.64s | steps=2560 | pi=-0.0718 v=0.4450 ent=3.4894 aux=1.1463 ent_coef=0.0018
[02:40:24] upd 87/240 | 2.66s | steps=2560 | pi=0.0102 v=0.4348 ent=3.4209 aux=1.1474 ent_coef=0.0018
[02:40:27] upd 88/240 | 2.64s | steps=2560 | pi=-0.0553 v=0.4414 ent=3.4255 aux=1.1543 ent_coef=0.0018
[02:40:29] upd 89/240 | 2.66s | steps=2560 | pi=0.0136 v=0.4378 ent=3.3458 aux=1.1483 ent_coef=0.0018
[02:40:32] upd 90/240 | 2.62s | steps=2560 | pi=-0.0505 v=0.4540 ent=3.4499 aux=1.1879 ent_coef=0.0018
[02:40:35] quick eval upd 90: win_rate=0.415 avg_steps=2.14 guesses/ep=1.65 guess_success=0.65 auroc=0.449 score=0.414
[02:40:37] upd 91/240 | 2.64s | steps=2560 | pi=0.0805 v=0.4243 ent=3.3352 aux=1.1458 ent_coef=0.0018
[02:40:40] upd 92/240 | 2.65s | steps=2560 | pi=0.1257 v=0.4515 ent=3.3093 aux=1.2110 ent_coef=0.0018
[02:40:43] upd 93/240 | 2.63s | steps=2560 | pi=0.0275 v=0.4157 ent=3.2546 aux=1.2032 ent_coef=0.0018
[02:40:45] upd 94/240 | 2.64s | steps=2560 | pi=0.1136 v=0.4352 ent=3.3639 aux=1.2073 ent_coef=0.0018
[02:40:48] upd 95/240 | 2.63s | steps=2560 | pi=-0.0298 v=0.4325 ent=3.3925 aux=1.1716 ent_coef=0.0018
[02:40:51] upd 96/240 | 2.65s | steps=2560 | pi=-0.0378 v=0.4368 ent=3.3214 aux=1.1748 ent_coef=0.0018
[02:40:53] upd 97/240 | 2.65s | steps=2560 | pi=-0.0618 v=0.4160 ent=3.2529 aux=1.1546 ent_coef=0.0018
[02:40:56] upd 98/240 | 2.66s | steps=2560 | pi=0.0961 v=0.4349 ent=3.2663 aux=1.1540 ent_coef=0.0018
[02:40:58] upd 99/240 | 2.64s | steps=2560 | pi=-0.0785 v=0.4211 ent=3.2190 aux=1.1649 ent_coef=0.0018
[02:41:01] upd 100/240 | 2.64s | steps=2560 | pi=-0.0062 v=0.4431 ent=3.3337 aux=1.1604 ent_coef=0.0018
[02:41:04] quick eval upd 100: win_rate=0.435 avg_steps=2.25 guesses/ep=1.78 guess_success=0.68 auroc=0.448 score=0.432
[02:41:07] upd 101/240 | 2.65s | steps=2560 | pi=-0.0128 v=0.4244 ent=3.4004 aux=1.1424 ent_coef=0.0018
[02:41:10] upd 102/240 | 2.65s | steps=2560 | pi=-0.0834 v=0.4414 ent=3.2898 aux=1.1371 ent_coef=0.0018
[02:41:12] upd 103/240 | 2.65s | steps=2560 | pi=-0.0580 v=0.4295 ent=3.2082 aux=1.1559 ent_coef=0.0018
[02:41:15] upd 104/240 | 2.79s | steps=2560 | pi=0.0035 v=0.4337 ent=3.3387 aux=1.1379 ent_coef=0.0018
[02:41:18] upd 105/240 | 2.72s | steps=2560 | pi=0.0265 v=0.4301 ent=3.2709 aux=1.1521 ent_coef=0.0018
[02:41:21] upd 106/240 | 2.74s | steps=2560 | pi=0.0070 v=0.4256 ent=3.2366 aux=1.1555 ent_coef=0.0018
[02:41:23] upd 107/240 | 2.65s | steps=2560 | pi=0.0398 v=0.4251 ent=3.3189 aux=1.1482 ent_coef=0.0018
[02:41:26] upd 108/240 | 2.65s | steps=2560 | pi=-0.0390 v=0.4361 ent=3.1678 aux=1.1419 ent_coef=0.0018
[02:41:29] upd 109/240 | 2.65s | steps=2560 | pi=-0.0670 v=0.4303 ent=3.1321 aux=1.1406 ent_coef=0.0018
[02:41:31] upd 110/240 | 2.64s | steps=2560 | pi=0.0610 v=0.4124 ent=3.1863 aux=1.1366 ent_coef=0.0018
[02:41:34] quick eval upd 110: win_rate=0.455 avg_steps=2.22 guesses/ep=1.73 guess_success=0.68 auroc=0.440 score=0.453
[02:41:37] upd 111/240 | 2.81s | steps=2560 | pi=-0.0674 v=0.4391 ent=3.0311 aux=1.1456 ent_coef=0.0018
[02:41:39] upd 112/240 | 2.76s | steps=2560 | pi=0.0737 v=0.4289 ent=3.2375 aux=1.1453 ent_coef=0.0018
[02:41:42] upd 113/240 | 2.79s | steps=2560 | pi=-0.0325 v=0.4322 ent=3.1806 aux=1.1496 ent_coef=0.0018
[02:41:45] upd 114/240 | 2.79s | steps=2560 | pi=0.0111 v=0.4294 ent=3.1646 aux=1.1450 ent_coef=0.0018
[02:41:48] upd 115/240 | 2.79s | steps=2560 | pi=-0.0288 v=0.4198 ent=3.0921 aux=1.1465 ent_coef=0.0018
[02:41:51] upd 116/240 | 2.79s | steps=2560 | pi=-0.0553 v=0.4384 ent=3.0630 aux=1.1424 ent_coef=0.0018
[02:41:53] upd 117/240 | 2.80s | steps=2560 | pi=0.0576 v=0.4362 ent=3.0944 aux=1.1494 ent_coef=0.0018
[02:41:56] upd 118/240 | 2.81s | steps=2560 | pi=0.0284 v=0.4450 ent=3.1400 aux=1.1478 ent_coef=0.0018
[02:41:59] upd 119/240 | 2.83s | steps=2560 | pi=-0.0168 v=0.4509 ent=3.0387 aux=1.1547 ent_coef=0.0018
[02:42:02] upd 120/240 | 2.83s | steps=2560 | pi=0.0890 v=0.4511 ent=3.1128 aux=1.1625 ent_coef=0.0018
[02:42:05] quick eval upd 120: win_rate=0.447 avg_steps=2.30 guesses/ep=1.80 guess_success=0.69 auroc=0.434 score=0.444
[02:42:08] upd 121/240 | 2.80s | steps=2560 | pi=-0.0813 v=0.4469 ent=2.9750 aux=1.1716 ent_coef=0.0018
[02:42:11] upd 122/240 | 2.83s | steps=2560 | pi=-0.0503 v=0.4393 ent=2.9420 aux=1.1757 ent_coef=0.0018
[02:42:14] upd 123/240 | 2.83s | steps=2560 | pi=-0.0368 v=0.4475 ent=3.0547 aux=1.1707 ent_coef=0.0018
[02:42:16] upd 124/240 | 2.83s | steps=2560 | pi=0.0025 v=0.4475 ent=3.0079 aux=1.1798 ent_coef=0.0018
[02:42:19] upd 125/240 | 2.80s | steps=2560 | pi=0.1177 v=0.4418 ent=2.9623 aux=1.1740 ent_coef=0.0018
[02:42:22] upd 126/240 | 2.80s | steps=2560 | pi=0.0339 v=0.4293 ent=3.0336 aux=1.1881 ent_coef=0.0018
[02:42:25] upd 127/240 | 2.81s | steps=2560 | pi=0.0150 v=0.4302 ent=3.0259 aux=1.1695 ent_coef=0.0018
[02:42:28] upd 128/240 | 2.84s | steps=2560 | pi=-0.1777 v=0.4418 ent=2.8276 aux=1.1958 ent_coef=0.0018
[02:42:31] upd 129/240 | 2.83s | steps=2560 | pi=-0.0286 v=0.4366 ent=2.9568 aux=1.1676 ent_coef=0.0018
[02:42:33] upd 130/240 | 2.82s | steps=2560 | pi=0.0087 v=0.4577 ent=3.0557 aux=1.1462 ent_coef=0.0018
[02:42:36] quick eval upd 130: win_rate=0.442 avg_steps=2.21 guesses/ep=1.71 guess_success=0.67 auroc=0.434 score=0.440
[02:42:39] upd 131/240 | 2.83s | steps=2560 | pi=0.0421 v=0.4499 ent=3.1050 aux=1.1839 ent_coef=0.0018
[02:42:42] upd 132/240 | 2.80s | steps=2560 | pi=0.0565 v=0.4436 ent=3.0190 aux=1.1788 ent_coef=0.0018
[02:42:45] upd 133/240 | 2.82s | steps=2560 | pi=0.0880 v=0.4313 ent=3.0346 aux=1.1775 ent_coef=0.0017
[02:42:47] upd 134/240 | 2.82s | steps=2560 | pi=-0.0803 v=0.4443 ent=2.9987 aux=1.2131 ent_coef=0.0017
[02:42:50] upd 135/240 | 2.82s | steps=2560 | pi=0.0285 v=0.4381 ent=3.0863 aux=1.1923 ent_coef=0.0017
[02:42:53] upd 136/240 | 2.78s | steps=2560 | pi=-0.0806 v=0.4451 ent=2.9911 aux=1.2114 ent_coef=0.0017
[02:42:56] upd 137/240 | 2.66s | steps=2560 | pi=0.0849 v=0.4341 ent=3.0495 aux=1.2056 ent_coef=0.0017
[02:42:58] upd 138/240 | 2.64s | steps=2560 | pi=0.1072 v=0.4408 ent=3.0887 aux=1.1694 ent_coef=0.0017
[02:43:01] upd 139/240 | 2.72s | steps=2560 | pi=-0.0592 v=0.4350 ent=2.9703 aux=1.1785 ent_coef=0.0017
[02:43:04] upd 140/240 | 2.79s | steps=2560 | pi=-0.0045 v=0.4385 ent=2.9564 aux=1.1853 ent_coef=0.0017
[02:43:07] quick eval upd 140: win_rate=0.426 avg_steps=2.19 guesses/ep=1.68 guess_success=0.66 auroc=0.430 score=0.424
[02:43:10] upd 141/240 | 2.77s | steps=2560 | pi=-0.0433 v=0.4457 ent=2.9339 aux=1.1796 ent_coef=0.0017
[02:43:12] upd 142/240 | 2.78s | steps=2560 | pi=-0.0504 v=0.4463 ent=2.8258 aux=1.2106 ent_coef=0.0017
[02:43:15] upd 143/240 | 2.79s | steps=2560 | pi=0.0473 v=0.4491 ent=2.8886 aux=1.1896 ent_coef=0.0017
[02:43:18] upd 144/240 | 2.79s | steps=2560 | pi=0.0461 v=0.4468 ent=2.8789 aux=1.2200 ent_coef=0.0017
[02:43:21] upd 145/240 | 2.82s | steps=2560 | pi=0.0964 v=0.4443 ent=2.7818 aux=1.1952 ent_coef=0.0017
[02:43:24] upd 146/240 | 2.81s | steps=2560 | pi=-0.0411 v=0.4390 ent=2.6907 aux=1.2241 ent_coef=0.0017
[02:43:26] upd 147/240 | 2.82s | steps=2560 | pi=0.0525 v=0.4437 ent=2.6852 aux=1.2061 ent_coef=0.0017
[02:43:29] upd 148/240 | 2.80s | steps=2560 | pi=-0.0382 v=0.4372 ent=2.7618 aux=1.2086 ent_coef=0.0017
[02:43:32] upd 149/240 | 2.81s | steps=2560 | pi=0.0635 v=0.4270 ent=2.6759 aux=1.2167 ent_coef=0.0017
[02:43:35] upd 150/240 | 2.82s | steps=2560 | pi=-0.0170 v=0.4273 ent=2.7190 aux=1.2060 ent_coef=0.0017
[02:43:38] quick eval upd 150: win_rate=0.478 avg_steps=2.21 guesses/ep=1.73 guess_success=0.70 auroc=0.429 score=0.475
[02:43:41] upd 151/240 | 2.84s | steps=2560 | pi=-0.0768 v=0.4316 ent=2.7453 aux=1.1988 ent_coef=0.0017
[02:43:43] upd 152/240 | 2.78s | steps=2560 | pi=-0.0229 v=0.4345 ent=2.6026 aux=1.2013 ent_coef=0.0017
[02:43:46] upd 153/240 | 2.82s | steps=2560 | pi=-0.0280 v=0.4310 ent=2.6090 aux=1.2240 ent_coef=0.0017
[02:43:49] upd 154/240 | 2.81s | steps=2560 | pi=-0.0638 v=0.4257 ent=2.5742 aux=1.2122 ent_coef=0.0017
[02:43:52] upd 155/240 | 2.80s | steps=2560 | pi=-0.0613 v=0.4319 ent=2.5222 aux=1.1965 ent_coef=0.0017
[02:43:55] upd 156/240 | 2.80s | steps=2560 | pi=0.0535 v=0.4589 ent=2.4632 aux=1.2289 ent_coef=0.0017
[02:43:57] upd 157/240 | 2.82s | steps=2560 | pi=-0.0111 v=0.4459 ent=2.5778 aux=1.1993 ent_coef=0.0017
[02:44:00] upd 158/240 | 2.81s | steps=2560 | pi=0.0041 v=0.4490 ent=2.5346 aux=1.2247 ent_coef=0.0017
[02:44:03] upd 159/240 | 2.80s | steps=2560 | pi=0.0204 v=0.4440 ent=2.6592 aux=1.2260 ent_coef=0.0017
[02:44:06] upd 160/240 | 2.78s | steps=2560 | pi=0.0411 v=0.4394 ent=2.6236 aux=1.2126 ent_coef=0.0017
[02:44:09] quick eval upd 160: win_rate=0.449 avg_steps=2.22 guesses/ep=1.74 guess_success=0.68 auroc=0.450 score=0.447
[02:44:12] upd 161/240 | 2.80s | steps=2560 | pi=0.0064 v=0.4228 ent=2.5404 aux=1.2598 ent_coef=0.0017
[02:44:14] upd 162/240 | 2.80s | steps=2560 | pi=-0.0347 v=0.4318 ent=2.4237 aux=1.2505 ent_coef=0.0017
[02:44:17] upd 163/240 | 2.81s | steps=2560 | pi=-0.0243 v=0.4383 ent=2.4403 aux=1.2262 ent_coef=0.0017
[02:44:20] upd 164/240 | 2.84s | steps=2560 | pi=-0.0603 v=0.4339 ent=2.4682 aux=1.2359 ent_coef=0.0017
